superficie_afectada_por_incendios_anio,superficie_afectada_por_incendios_provincia,superficie_afectada_por_incendios_total_hectareas,superficie_afectada_por_incendios_bosque_nativo_hectareas,superficie_afectada_por_incendios_bosque_cultivado_hectareas,superficie_afectada_por_incendios_arbustal_hectareas,superficie_afectada_por_incendios_pastizal_hectareas,superficie_afectada_por_incendios_sin_determinar_hectareas
2014,Catamarca,10366.62,3.4,8,1097.33,9257.89,0
2014,Chaco,5244.8,72,78.5,133,4961.3,0
2014,Chubut,147.73,1.03,1.99,32.94,111.77,0
2014,Ciudad Autónoma de Buenos Aires,0.2,0,0,0.01,0.19,0
2014,Córdoba,4196,0,0,200,3996,0
2014,Corrientes,1639.99,54.23,1018,25,542.76,0
2014,Entre Ríos,1536,517,83,5,931,0
2014,Formosa,7820.89,10.79,0,207.46,7602.65,0
2014,Jujuy,1447.73,20.58,24.53,143.24,1259.39,0
2014,La Pampa,490635.4,143008.8,16.8,216073.17,131536.63,0
2014,La Rioja,1814,0,72,6,1736,0
2014,Mendoza,66156,2809.5,0,11003,52343.5,0
2014,Misiones,959,32,94,211,622,0
2014,Neuquén,626.67,31.11,24.31,279.61,291.64,0
2014,Río Negro,49373.68,4.34,4.3,14697.1,34667.94,0
2014,Salta,1614.99,12,0,71.46,1531.53,0
2014,San Juan,566,0,0,15.5,550.5,0
2014,San Luis,52493,2530,0,448,49515,0
2014,Santa Cruz,277.02,184.92,0,46.04,46.06,0
2014,Santa Fe,739,0,90,1,648,0
2014,Santiago del Estero,1471,27,47,290,1107,0
2014,Tierra del Fuego,8.98,0.54,0,0.57,7.88,0
2014,Tucumán,120,0,0,40,80,0
2015,Buenos Aires,5730.04,172.5,791.65,98.65,4667.24,0
2015,Catamarca,10851.78,8.44,54.78,2524.4,8264.16,0
2015,Chaco,4219.5,25,110,41,4043.5,0
2015,Chubut,40346.98,26986.85,195.23,6600.6,6564.31,0
2015,Ciudad Autónoma de Buenos Aires,6,0,0,0,6,0
2015,Córdoba,1280,720,50,0,510,0
2015,Corrientes,12227,0,0,0,12227,0
2015,Entre Ríos,1530,503,24,46,957,0
2015,Formosa,794.44,5.99,20.65,231.8,536,0
2015,Jujuy,1908.35,48.78,44.55,349.67,1465.36,0
2015,La Pampa,213804,92782,5,85109.75,35039.25,868
2015,La Rioja,511,0,58,26,427,0
2015,Mendoza,19788.35,1025.6,86,5203.35,13473.4,0
2015,Misiones,378,0,43,84,251,0
2015,Neuquén,20564.49,1.03,2.54,10239.24,10321.69,0
2015,Río Negro,105108.23,47.22,32.24,37567.9,67460.88,0
2015,Salta,1094.45,34.47,2.61,218.56,838.81,0
2015,San Juan,591.25,0,5,52,534.25,0
2015,San Luis,33198,3555,1835,9941,17867,0
2015,Santa Cruz,158.5,0.5,1.5,64,92.5,0
2015,Santa Fe,1177,127,38,73,939,0
2015,Santiago del Estero,1975,591,5,834,545,0
2015,Tierra del Fuego,5.36,2.21,0,0.84,2.31,0
2015,Tucumán,115.3,0,0,25.5,89.8,0
2016,Buenos Aires,59295.89,2058.6,404.26,355.5,56477.53,0
2016,Catamarca,27495.69,1396.37,171.57,3872.78,22054.97,0
2016,Chaco,9129.2,15,25,8,9081.2,0
2016,Chubut,9552.33,6327.3,41.93,2516.8,666.29,0
2016,Ciudad Autónoma de Buenos Aires,12629,0,0,0,12629,0
2016,Córdoba,3540.7,316.7,0,873.1,2350.9,0
2016,Corrientes,9980,1400,0,0,8580,0
2016,Entre Ríos,3030,1126,19,150,1735,0
2016,Formosa,614.9,0,0,133.07,481.83,0
2016,Jujuy,2010.16,470.88,53.35,749.96,735.97,0
2016,La Pampa,615182,157249.9,18.5,243851.1,214062.5,0
2016,La Rioja,334,0,0,9,325,0
2016,Mendoza,93529.3,4498.5,884.5,13664.9,74481.4,0
2016,Misiones,2665,30,14,152,2469,0
2016,Neuquén,38356.06,37.91,10.63,892.95,37414.57,0
2016,Río Negro,60175.91,67.07,11.51,12350.41,47746.92,0
2016,Salta,4665.82,310.56,529.5,525.4,3300.36,0
2016,San Juan,2099.5,0,160,1.25,1938.25,0
2016,San Luis,97861,123,0,18344,79394,0
2016,Santa Cruz,1035.63,31.4,0,473.6,530.63,0
2016,Santa Fe,1107,102,87,98,820,0
2016,Santiago del Estero,1675,34,0,782,859,0
2016,Tierra del Fuego,10.02,5.1,0,0.7,4.23,0
2016,Tucumán,90,0,0,0,90,0
2017,Buenos Aires,7696.47,231.37,358.62,55,7051.48,0
2017,Catamarca,45170.12,0.83,390.6,813.97,43964.73,0
2017,Chaco,4923.99,1243,167,323.43,3190.56,0
2017,Chubut,521.44,186.66,17.39,186.48,130.9,0
2017,Ciudad Autónoma de Bs As,0,0,0,0,0,0
2017,Córdoba,45343.4,11922.2,410,3922,29089.2,0
2017,Corrientes,2388.39,256.03,1249.58,0,882.78,0
2017,Entre Ríos,372,47,3,102,220,0
2017,Formosa,1342.63,0,0.65,31.45,1310.53,0
2017,Jujuy,2105.63,584.01,71.31,707.08,743.23,0
2017,La Pampa,964407.5,455174.8,0,322306.5,186926.2,0
2017,La Rioja,734,0,0,0,734,0
2017,Mendoza,418798.8,78524,244.6,146563.3,193466.9,0
2017,Misiones,1775,0,61,4,1710,0
2017,Neuquén,6787.27,228,89.15,1610.83,4859.29,0
2017,Río Negro,61076.46,5.54,3.24,11970.73,49096.95,0
2017,Salta,4477.39,101.8,8.7,1961.43,2405.46,0
2017,San Juan,12021.5,0,0,115,11906.5,0
2017,San Luis,39,0,0,0,39,0
2017,Santa Cruz,303.2,0,0,5.2,298,0
2017,Santa Fe,1303,75,123,101,1004,0
2017,Santiago del Estero,1784,10,31,752,991,0
2017,Tierra del Fuego,5.21,1.57,2.13,0.74,0.78,0
2017,Tucumán,178.25,21.46,0,92.24,64.55,0
2018,Buenos Aires,86851.72,2419.19,508.24,40953.38,42970.92,0
2018,Catamarca,6992.88,70.62,94.28,1705.9,5122.08,0
2018,Chaco,3067.45,78.9,1046.6,230.4,1711.55,0
2018,Chubut,100.44,2.2,12.05,11.72,74.47,0
2018,Ciudad Autónoma de Buenos Aires,0.04,0,0,0,0.04,0
2018,Córdoba,20826.31,2549,300,3934.5,14042.81,0
2018,Corrientes,434.01,48.5,74.5,5,306.01,0
2018,Entre Ríos,4899,3369,1245,0,285,0
2018,Formosa,550.65,0,0,168.12,382.53,0
2018,Jujuy,841.76,134.45,41.42,101.96,563.94,0
2018,La Pampa,723261.9,228359.65,21487.4,313725.95,159688.9,0
2018,La Rioja,303,0,0,1,302,0
2018,Mendoza,126315.5,8672.2,71.45,34988.33,82583.53,0
2018,Misiones,765.5,0,7.5,22,736,0
2018,Neuquén,2825.54,1046.4,13.63,564.74,1200.77,0
2018,Parques Nacionales,33281.3,72.07,30,15094.69,18084.54,0
2018,Río Negro,4688.1,68.98,16.15,2267.19,2335.78,0
2018,Salta,1306.01,0,0.1,222.73,1083.18,0
2018,San Juan,565.5,10.5,4.5,0,550.5,0
2018,San Luis,39,0,0,0,39,0
2018,Santa Fe,1686,116,55,64,1451,0
2018,Tierra del Fuego,2.75,0.04,0,0.23,2.49,0
2018,Tucumán,1801.86,0.4,0,59.7,1741.76,0
2019,Buenos Aires,301588.4,44,611.7,93,4299.5,296540.2
2019,Catamarca,11805.887,50.6,3.058,2058.065,9694.164,0
2019,Chubut,4253.62,10.3,4073.21,163.42,6.69,0
2019,Ciudad Autónoma de,0.06,0,0,0,0.06,0
2019,Córdoba,20935.97,2774.8,0,5792.935,12368.235,0
2019,Corrientes,476.6,147.1,57.263,0,272.23,0
2019,Entre Ríos,953,73,62,1,817,0
2019,Formosa,2744.4265,0,0,409.653,2334.7735,0
2019,Jujuy,5328.51,1031.64,15.675,113.475,4167.72,0
2019,La Pampa,169229.8,99181.85,8,54371.35,15668.6,0
2019,La Rioja,34,0,0,0,34,0
2019,Mendoza,59872.5,3354.35,0.1,23009,33509.05,0
2019,Misiones,798.5,44.5,37,15,702,0
2019,Río Negro,388.15963,66.33693,11.042,115.03497,195.74573,0
2019,Salta,1155.73,0,0,65.57,1090.16,0
2019,San Juan,1099.04,21,138,0,940.04,0
2019,San Luis,68110.598,68110.598,0,0,0,0
2019,Santa Cruz,5166,0,0,0,5166,0
2019,Santa Fe,1164,30,23,52,1059,0
2019,Santiago del Estero,1997,0,0,0,1997,0
2019,Tierra del Fuego,188.79,92.4595,0,0.0507,96.28,0
